"Mesor HNLD"	"Mesor LNLD"	"Mesor HNSD"	"Mesor LNSD"	"Amplitude HNLD"	"Amplitude LNLD"	"Amplitude HNSD"	"Amplitude LNSD"	"Phase HNLD"	"Phase LNLD"	"Phase HNSD"	"Phase LNSD"
"Rsub_00105"	8.48994550152321	20.7376310556377	32.7616826111127	32.8414352777436	4.77111107930086	13.6927860896641	5.62885023144164	6.09923303686079	13.1283418198634	16.5654235545734	20.1840003608427	19.4861866638547
"Rsub_00109"	4.67639627699461	11.606271553898	2.61582644872575	10.7231505555588	1.87768220479363	5.32913793360497	1.07976447989741	3.68861722773199	12.2301414531356	16.14038473496	9.05589881452294	12.7370007645806
"Rsub_00111"	24.5022895577877	21.8639714456467	26.1597852777743	24.9040001111101	8.93282883319401	10.3696352663778	6.23429441170235	8.26425255438618	0.329777711788443	2.08749717948256	20.0673672592024	20.6965152681662
"Rsub_00115"	1.59157395115061	7.80614671579722	3.97564866813503	11.4980875005126	0.512280404324565	4.05457854094546	2.5732038938821	5.52389960344017	22.6946219633962	20.2765138125584	18.6407446354764	17.3918023913649
"Rsub_00118"	8.63356689906698	7.25632943426841	4.64754422253062	9.13384811437228	4.43595605276985	5.3693458993481	0.841767934211572	4.36073614489975	17.9296412600231	20.953836856338	8.61483023931648	20.3894494737831
"Rsub_00119"	92.0433078564435	48.631558143558	197.4374261151	34.3777433910385	62.7457112056282	66.5986269402766	341.726292243876	45.5749565769696	8.94778631105394	6.37588209064431	5.46944555266121	4.47933047787181
"Rsub_00120"	70.1125530921744	39.3008945744624	50.4355157893636	37.9287043890991	53.0487126547136	28.9922133894286	54.3646818784933	23.8018998104959	14.3949625875647	13.5792677016724	6.36166909026291	7.75641357898849
"Rsub_00122"	174.46700410094	165.859069954611	155.958070264243	159.361218513475	34.3484842445361	8.26070698205906	42.0135018415289	27.1474389806804	13.9529325364556	19.0501528244937	1.90226547735135	3.3200185858271
"Rsub_00123"	17.5723277198664	21.0271208333445	10.7616229412965	19.0053813916937	3.77338252707344	4.09648397532642	6.76054133058838	7.79192237197959	13.966118041709	10.9988663526848	7.83465526390876	7.1842589546723
"Rsub_00124"	40.5608714444505	38.6989060556176	23.3144885701152	34.7495746117145	10.4448050332362	13.3954640307935	8.11733522826925	15.1269419437795	6.82580667818838	7.59027262582146	4.98739870964356	5.17998300041627
"Rsub_00125"	3.4525606666666	1.95073600000006	1.86318238668632	2.56918667162579	4.01724067056821	2.51839111402531	2.49523327101495	2.81607085127717	10.9519026234495	13.588675894678	7.65660197531848	8.640887737049
"Rsub_00126"	20.5553309473095	17.49341334543	7.3840680179757	11.7048118709088	14.6294331287281	19.4339689967335	6.69585333454628	11.9124405616988	15.7878302684884	18.5552020795136	6.60248353314912	17.8717804289573
